HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.Country,Answer.GDPPC,Answer.IDV,Answer.IND,Answer.LTO,Answer.MAS,Answer.PDI,Answer.UAI,Approve,Reject
31N9JPQXIOHVDEZZHLI9KJO1XS9HN1,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:35 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:35 PST 2017,,,3DH6GAKTYYOE3I11KB2TQPLXUSLYZC,A5YNMUFWH5Z7K,Submitted,Sat Feb 11 17:59:22 PST 2017,Sat Feb 11 18:13:54 PST 2017,Tue Feb 14 18:13:54 PST 2017,,,,872,0% (0/0),0% (0/0),0% (0/0),Albania,"$11,900",20,15,61,80,90,70,,
31N9JPQXIOHVDEZZHLI9KJO1XS9HN1,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:35 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:35 PST 2017,,,3M0BCWMB8VVEWF3LZW42JATESHZBWK,A3L6BJPQ4ROWA1,Submitted,Sat Feb 11 17:55:42 PST 2017,Sat Feb 11 17:56:22 PST 2017,Tue Feb 14 17:56:22 PST 2017,,,,40,0% (0/0),0% (0/0),0% (0/0),Albania,"$11,900",20,15,61,80,90,70,,
3R16PJFTS2Q0TWQ1516AY2YTYSIK4D,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:35 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:35 PST 2017,,,3DI28L7YXADJ2HZ2CZH7RS95Z131EB,ARP1L3PIDJ8T2,Submitted,Sat Feb 11 17:12:14 PST 2017,Sat Feb 11 17:13:15 PST 2017,Tue Feb 14 17:13:15 PST 2017,,,,61,0% (0/0),0% (0/0),0% (0/0),Angola,6800,18,83,15,20,83,60,,
3R16PJFTS2Q0TWQ1516AY2YTYSIK4D,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:35 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:35 PST 2017,,,3G5F9DBFOPWB83629E92JJDYGL2VHA,A3L6BJPQ4ROWA1,Submitted,Sat Feb 11 18:13:19 PST 2017,Sat Feb 11 18:13:45 PST 2017,Tue Feb 14 18:13:45 PST 2017,,,,26,0% (0/0),0% (0/0),0% (0/0),Angola,"$6,800",18,83,15,20,83,60,,
3ZQX1VYFTC4K2OYIFWOGMVV7KJOO88,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:35 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:35 PST 2017,,,3BXQMRHWKZXXN2IDVLFAF2JBJ0SUMT,A5YNMUFWH5Z7K,Submitted,Sat Feb 11 18:06:04 PST 2017,Sat Feb 11 18:16:18 PST 2017,Tue Feb 14 18:16:18 PST 2017,,,,614,0% (0/0),0% (0/0),0% (0/0),Argentina,"$20,200",46,62,20,56,49,86,,
3ZQX1VYFTC4K2OYIFWOGMVV7KJOO88,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:35 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:35 PST 2017,,,3VZLGYJEYL9P3DBRFFGR7BEOSMRZX7,A3L6BJPQ4ROWA1,Submitted,Sat Feb 11 18:06:46 PST 2017,Sat Feb 11 18:07:30 PST 2017,Tue Feb 14 18:07:30 PST 2017,,,,44,0% (0/0),0% (0/0),0% (0/0),Argentina,"$20,200",46,62,20,56,49,86,,
3S4TINXCCZM34MWPI88QDXL8SP9BOU,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:36 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:36 PST 2017,,,3EF8EXOTT1URDXLUQ0SYO8MX4901JX,A3L6BJPQ4ROWA1,Submitted,Sat Feb 11 17:57:30 PST 2017,Sat Feb 11 17:58:03 PST 2017,Tue Feb 14 17:58:03 PST 2017,,,,33,0% (0/0),0% (0/0),0% (0/0),Australia,"$48,800",90,71,21,61,36,51,,
3S4TINXCCZM34MWPI88QDXL8SP9BOU,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:36 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:36 PST 2017,,,3NLZY2D53POLPRTBE0UQ5O7XGAXQLJ,A5YNMUFWH5Z7K,Submitted,Sat Feb 11 18:16:20 PST 2017,Sat Feb 11 18:25:27 PST 2017,Tue Feb 14 18:25:27 PST 2017,,,,547,0% (0/0),0% (0/0),0% (0/0),Australia,"$48,800",90,71,21,61,36,51,,
3V0TR1NRV91UHJHFTATL4OVXTGO4AI,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:36 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:36 PST 2017,,,3DEL4X4EL6KPYN1MJTE8T45MMSNXYE,A5YNMUFWH5Z7K,Submitted,Sat Feb 11 18:10:26 PST 2017,Sat Feb 11 18:20:33 PST 2017,Tue Feb 14 18:20:33 PST 2017,,,,607,0% (0/0),0% (0/0),0% (0/0),Austria,"$47,900",55,63,60,79,11,70,,
3V0TR1NRV91UHJHFTATL4OVXTGO4AI,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:36 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:36 PST 2017,,,3PJUZCGDJ6FKILS639A0EOV2MAS98S,A3L6BJPQ4ROWA1,Submitted,Sat Feb 11 16:51:24 PST 2017,Sat Feb 11 16:52:04 PST 2017,Tue Feb 14 16:52:04 PST 2017,,,,40,0% (0/0),0% (0/0),0% (0/0),Austria,"$47,900",55,63,60,79,11,70,,
3BKZLF990YY2262G7DEEADE9SZ9QYW,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:35 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:35 PST 2017,,,336YQZE83VDG2NSYUK727QRVKJ05MN,A2C929NA28XOWX,Submitted,Sat Feb 11 18:11:19 PST 2017,Sat Feb 11 18:12:34 PST 2017,Tue Feb 14 18:12:34 PST 2017,,,,75,0% (0/0),0% (0/0),0% (0/0),Bangladesh,"$3,900",20,20,47,55,80,60,,
3BKZLF990YY2262G7DEEADE9SZ9QYW,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:35 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:35 PST 2017,,,3YDGXNSEOZTJLFMUMEE9XGKM0IG84X,ARP1L3PIDJ8T2,Submitted,Sat Feb 11 18:12:24 PST 2017,Sat Feb 11 18:13:18 PST 2017,Tue Feb 14 18:13:18 PST 2017,,,,54,0% (0/0),0% (0/0),0% (0/0),Bangladesh,3900,20,20,47,55,80,60,,
3JTPR5MTZRBIPFU1J6PK3U47YODK5I,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:35 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:35 PST 2017,,,33PPO7FECVEPAHH0OBRTD986GRDDIM,AELFDOPFPTHT0,Submitted,Sat Feb 11 17:44:30 PST 2017,Sat Feb 11 17:45:51 PST 2017,Tue Feb 14 17:45:51 PST 2017,,,,81,0% (0/0),0% (0/0),0% (0/0),Belgium,"$44,900",75,57,82,54,65,94,,
3JTPR5MTZRBIPFU1J6PK3U47YODK5I,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:35 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:35 PST 2017,,,3VNL7UK1XFICHFB79TLNFGD03L8TFT,A3L6BJPQ4ROWA1,Submitted,Sat Feb 11 17:01:50 PST 2017,Sat Feb 11 17:02:18 PST 2017,Tue Feb 14 17:02:18 PST 2017,,,,28,0% (0/0),0% (0/0),0% (0/0),Belgium,"$44,900",75,57,82,54,65,94,,
3T5ZXGO9DDN27WCL3ZGXOKNBYTDQZN,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:35 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:35 PST 2017,,,3IFS6Q0HJIIVC60IL1MI88U6HUNISL,ARP1L3PIDJ8T2,Submitted,Sat Feb 11 17:44:20 PST 2017,Sat Feb 11 17:45:42 PST 2017,Tue Feb 14 17:45:42 PST 2017,,,,82,0% (0/0),0% (0/0),0% (0/0),Bhutan,8100,52,0,0,32,94,28,,
3T5ZXGO9DDN27WCL3ZGXOKNBYTDQZN,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:35 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:35 PST 2017,,,3LUY3GC63ZZ1AU3UATERMEZMGU67P0,AELFDOPFPTHT0,Submitted,Sat Feb 11 18:09:27 PST 2017,Sat Feb 11 18:10:33 PST 2017,Tue Feb 14 18:10:33 PST 2017,,,,66,0% (0/0),0% (0/0),0% (0/0),Bhutan,"$8,100",52,0,0,32,94,28,,
32TMVRKDGMXGYVO0WC978XP23SO48E,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:36 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:36 PST 2017,,,3QILPRALQ5U57NW04JT5WPQMRZB8NS,ARP1L3PIDJ8T2,Submitted,Sat Feb 11 18:14:55 PST 2017,Sat Feb 11 18:15:35 PST 2017,Tue Feb 14 18:15:35 PST 2017,,,,40,0% (0/0),0% (0/0),0% (0/0),Brazil,15200,38,59,44,49,69,76,,
32TMVRKDGMXGYVO0WC978XP23SO48E,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:36 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:36 PST 2017,,,3SITXWYCNV8TLF8B910OLT7L1J4BXC,A3L6BJPQ4ROWA1,Submitted,Sat Feb 11 17:03:40 PST 2017,Sat Feb 11 17:04:07 PST 2017,Tue Feb 14 17:04:07 PST 2017,,,,27,0% (0/0),0% (0/0),0% (0/0),Brazil,"$15,200",38,59,44,49,69,76,,
3O0M2G5VC51GC07A14FL8TKDNY6493,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:36 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:36 PST 2017,,,3AMW0RGHOD1QDFVHQ0VGIBLCG9BNPR,ARP1L3PIDJ8T2,Submitted,Sat Feb 11 18:15:35 PST 2017,Sat Feb 11 18:16:59 PST 2017,Tue Feb 14 18:16:59 PST 2017,,,,84,0% (0/0),0% (0/0),0% (0/0),Bulgaria,20100,30,16,69,40,70,85,,
3O0M2G5VC51GC07A14FL8TKDNY6493,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:36 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:36 PST 2017,,,3IX2EGZR7BIF62KBOU7DUZ4A87TRJI,A3L6BJPQ4ROWA1,Submitted,Sat Feb 11 17:59:33 PST 2017,Sat Feb 11 17:59:58 PST 2017,Tue Feb 14 17:59:58 PST 2017,,,,25,0% (0/0),0% (0/0),0% (0/0),Bulgaria,"$20,100",30,16,69,40,70,85,,
3H781YYV6SHHOHDHOGWF8FXGUU3ETJ,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:36 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:36 PST 2017,,,3OB0CAO74HOSCX17EPWMQIHSY24YHM,ARP1L3PIDJ8T2,Submitted,Sat Feb 11 17:55:47 PST 2017,Sat Feb 11 17:57:16 PST 2017,Tue Feb 14 17:57:16 PST 2017,,,,89,0% (0/0),0% (0/0),0% (0/0),Burkina Faso,1800,15,18,27,50,70,55,,
3H781YYV6SHHOHDHOGWF8FXGUU3ETJ,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:36 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:36 PST 2017,,,3WZ36BJEV3FM4YZR4RZRWQMFONHTBC,A3L6BJPQ4ROWA1,Submitted,Sat Feb 11 17:53:53 PST 2017,Sat Feb 11 17:54:24 PST 2017,Tue Feb 14 17:54:24 PST 2017,,,,31,0% (0/0),0% (0/0),0% (0/0),Burkina Faso,"$1,800",15,18,27,50,70,55,,
