Country,GDP,CEX,pop_density,urbanization,gini,IDV,IND,LTO,MAS,PDI,UAI
Afghanistan,2000.00,1527.00,39.00,23.5,27.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Angola,6800.00,3351.00,17.00,59.2,42.7,18,83,15,20,83,60
Albania,11900.00,6152.00,101.00,53.4,29,20,15,61,80,90,70
United Arab Emirates,67700.00,39878.00,118.00,84.4,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Argentina,20200.00,7081.50,14.00,91.8,42.7,46,62,20,56,49,86
Armenia,8900.00,6398.00,101.00,64.1,31.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Antarctica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
French Southern and Antarctic Lands,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Australia,48800.00,22490.00,3.17,89.4,34.9,90,71,21,61,36,51
Austria,47900.00,22946.00,105.00,67.7,30.5,55,63,60,79,11,70
Azerbaijan,17700.00,6431.00,113.00,53.6,33.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Burundi,800.00,468.00,415.00,12,33.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belgium,44900.00,19920.00,372.00,97.8,27.6,75,57,82,54,65,94
Benin,2200.00,1259.00,95.00,44.9,43.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Burkina Faso,1800.00,704.00,64.00,26.5,39.8,15,18,27,50,70,55
Bangladesh,3900.00,1935.00,1125.82,28.4,32,20,20,47,55,80,60
Bulgaria,20100.00,8884.00,64.00,73.1,36,30,16,69,40,70,85
The Bahamas,24600.00,13402.00,25.00,84.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bosnia and Herzegovina,11000.00,6555.00,69.00,48.3,33,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belarus,17500.00,10421.00,46.00,75,26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belize,8200.00,5619.00,14.00,44.7,53.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bolivia,7200.00,3711.00,9.00,66.8,48.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brazil,15200.00,8319.00,24.00,90.6,51.5,38,59,44,49,69,76
Brunei,79700.00,12609.00,68.00,74,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bhutan,8100.00,3393.00,20.00,35.6,38.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Botswana,16900.00,5622.00,3.00,61.7,60.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Central African Republic,700.00,615.00,7.00,39.1,56.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Canada,46200.00,23024.00,3.65,81.8,33.7,80,68,36,52,39,48
Switzerland,59400.00,27147.00,203.00,73.7,31.6,68,66,74,70,34,58
Chile,24000.00,12915.00,22.00,89.5,50.5,23,68,31,28,63,86
China,15400.00,3910.00,143.36,56.1,42.2,20,24,87,66,80,30
Ivory Coast,3600.00,2168.00,72.00,51.3,43.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cameroon,3300.00,2083.00,44.00,52.1,42.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Democratic Republic of the Congo,800.00,510.00,36.00,34.3,42.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Republic of Congo,6800.00,1904.00,13.00,63.7,40.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Colombia,14200.00,7505.00,43.00,75.3,53.5,13,83,13,64,67,80
Costa Rica,16100.00,9299.00,96.00,64.7,48.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cuba,11600.00,11665.00,102.00,75.5,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Northern Cyprus,#N/A,#N/A,93.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cyprus,34400.00,13861.00,146.00,70.5,34.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Czech Republic,33200.00,12946.00,134.00,#N/A,26.1,58,29,70,57,57,74
Germany,48200.00,23332.00,230.00,73.9,30.1,67,40,83,66,35,65
Djibouti,3400.00,#N/A,38.00,77.1,45.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Denmark,46600.00,18664.00,133.00,87.7,29.1,74,70,35,16,18,23
Dominican Republic,15900.00,8489.00,220.00,69.7,47.1,30,54,13,65,65,45
Algeria,15000.00,3899.00,16.00,73,35.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ecuador,11000.00,6156.00,64.00,67.5,45.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Egypt,12100.00,7296.00,92.43,43.5,30.8,25,4,7,45,70,80
Eritrea,1300.00,1040.00,52.00,21.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Spain,36500.00,16769.00,92.00,77.4,35.9,51,44,48,42,57,86
Estonia,29500.00,11704.00,29.00,69.5,33.2,60,16,82,30,40,60
Ethiopia,1900.00,821.00,96.00,17,33.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Finland,41800.00,19568.00,16.00,83.7,27.1,63,57,38,26,33,59
Fiji,9400.00,#N/A,47.00,52.2,42.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Falkland Islands,55400.00,#N/A,0.00,74.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
France,42400.00,20414.00,118.00,85.8,33.1,71,48,63,43,68,86
Gabon,19300.00,5086.00,6.00,87.2,41.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
United Kingdom,42500.00,22250.00,268.00,79.6,32.6,89,69,51,66,35,35
Georgia,10100.00,5607.00,53.00,52.8,40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ghana,4400.00,1791.00,119.00,51.9,42.8,15,72,4,40,80,65
Guinea,1300.00,993.00,43.00,35.4,33.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gambia,1700.00,1246.00,173.00,57.3,47.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
